"Sector","Country","Year","Quarter","Value"
"Construction","Austria",2010,"Q1",242.16
"Construction","Austria",2010,"Q2",284.86
"Construction","Austria",2010,"Q3",296.63
"Construction","Austria",2010,"Q4",287.52
"Construction","Austria",2011,"Q1",243.64
"Construction","Austria",2011,"Q2",290
"Construction","Austria",2011,"Q3",304.6
"Construction","Austria",2011,"Q4",291.02
"Construction","Austria",2012,"Q1",246.13
"Construction","Austria",2012,"Q2",293.19
"Construction","Austria",2012,"Q3",306.76
"Construction","Austria",2012,"Q4",295.82
"Construction","Austria",2013,"Q1",240.88
"Construction","Austria",2013,"Q2",290.65
"Construction","Austria",2013,"Q3",304.78
"Construction","Austria",2013,"Q4",291.49
"Construction","Austria",2014,"Q1",249.97
"Construction","Austria",2014,"Q2",293.57
"Construction","Austria",2014,"Q3",305.03
"Construction","Austria",2014,"Q4",290.51
"Construction","Austria",2015,"Q1",247.96
"Construction","Austria",2015,"Q2",292.16
"Construction","Austria",2015,"Q3",303.49
"Construction","Austria",2015,"Q4",290.98
"Construction","Austria",2016,"Q1",250.34
"Construction","Austria",2016,"Q2",295.38
"Construction","Austria",2016,"Q3",307.07
"Construction","Austria",2016,"Q4",297.97
"Construction","Austria",2017,"Q1",255.84
"Construction","Austria",2017,"Q2",304.12
"Construction","Austria",2017,"Q3",314.11
"Construction","Austria",2017,"Q4",303.51
"Construction","Austria",2018,"Q1",264.1
"Construction","Austria",2018,"Q2",309.82
"Construction","Austria",2018,"Q3",319.3
"Construction","Austria",2018,"Q4",310.21
"Construction","Austria",2019,"Q1",275.08
"Construction","Austria",2019,"Q2",318.21
"Construction","Austria",2019,"Q3",327.57
"Construction","Austria",2019,"Q4",319.61
"Construction","Austria",2021,"Q1",292.86
"Construction","Austria",2021,"Q2",334.08
"Construction","Austria",2021,"Q3",342.1
"Construction","Austria",2021,"Q4",334.83
"Construction","Austria",2022,"Q1",305.41
"Construction","Austria",2022,"Q2",339.62
"Construction","Austria",2022,"Q3",344.67
"Construction","Austria",2022,"Q4",335.57
"Construction","Austria",2023,"Q1",302.06
"Construction","Austria",2023,"Q2",336.16
"Construction","Austria",2023,"Q3",340.68
"Construction","Austria",2023,"Q4",329.08
"Construction","Austria",2024,"Q1",293.28
"Construction","Austria",2024,"Q2",326
"Construction","Austria",2024,"Q3",330.97
"Construction","Belgium",2010,"Q1",261.5
"Construction","Belgium",2010,"Q2",262.8
"Construction","Belgium",2010,"Q3",266.1
"Construction","Belgium",2010,"Q4",265.6
"Construction","Belgium",2011,"Q1",265.6
"Construction","Belgium",2011,"Q2",266.6
"Construction","Belgium",2011,"Q3",269.6
"Construction","Belgium",2011,"Q4",269
"Construction","Belgium",2012,"Q1",268.7
"Construction","Belgium",2012,"Q2",268.2
"Construction","Belgium",2012,"Q3",269.9
"Construction","Belgium",2012,"Q4",267
"Construction","Belgium",2013,"Q1",265.5
"Construction","Belgium",2013,"Q2",264.3
"Construction","Belgium",2013,"Q3",265
"Construction","Belgium",2013,"Q4",260.7
"Construction","Belgium",2014,"Q1",259.3
"Construction","Belgium",2014,"Q2",259.2
"Construction","Belgium",2014,"Q3",260.2
"Construction","Belgium",2014,"Q4",257.1
"Construction","Belgium",2015,"Q1",256.5
"Construction","Belgium",2015,"Q2",256.6
"Construction","Belgium",2015,"Q3",258.2
"Construction","Belgium",2015,"Q4",255.9
"Construction","Belgium",2016,"Q1",256
"Construction","Belgium",2016,"Q2",257.8
"Construction","Belgium",2016,"Q3",260.5
"Construction","Belgium",2016,"Q4",259.3
"Construction","Belgium",2017,"Q1",257.7
"Construction","Belgium",2017,"Q2",259.6
"Construction","Belgium",2017,"Q3",261.6
"Construction","Belgium",2017,"Q4",259.6
