"Country","Year","Quarter","Value"
"Euroarea",2010,"Q1",1.1
"Austria",2010,"Q1",1.3
"Belgium",2010,"Q1",1.17
"Croatia",2010,"Q1",1.17
"Cyprus",2010,"Q1",1.1
"Estonia",2010,"Q1",0.03
"Finland",2010,"Q1",1.47
"France",2010,"Q1",1.43
"Germany",2010,"Q1",0.77
"Greece",2010,"Q1",3.03
"Ireland",2010,"Q1",-2.43
"Italy",2010,"Q1",1.23
"Latvia",2010,"Q1",-3.87
"Lithuania",2010,"Q1",-0.43
"Luxembourg",2010,"Q1",2.83
"Malta",2010,"Q1",0.9
"Netherlands",2010,"Q1",0.5
"Portugal",2010,"Q1",0.3
"Slovakia",2010,"Q1",-0.03
"Slovenia",2010,"Q1",1.67
"Spain",2010,"Q1",1.27
"Euroarea",2010,"Q2",1.6
"Austria",2010,"Q2",1.77
"Belgium",2010,"Q2",2.4
"Croatia",2010,"Q2",2.4
"Cyprus",2010,"Q2",0.77
"Estonia",2010,"Q2",2.9
"Finland",2010,"Q2",1.43
"France",2010,"Q2",1.83
"Germany",2010,"Q2",1.03
"Greece",2010,"Q2",5.1
"Ireland",2010,"Q2",-2.1
"Italy",2010,"Q2",1.57
"Latvia",2010,"Q2",-2.27
"Lithuania",2010,"Q2",0.53
"Luxembourg",2010,"Q2",2.83
"Malta",2010,"Q2",1.47
"Netherlands",2010,"Q2",0.43
"Portugal",2010,"Q2",0.97
"Slovakia",2010,"Q2",0.7
"Slovenia",2010,"Q2",2.37
"Spain",2010,"Q2",2.33
"Euroarea",2010,"Q3",1.73
"Austria",2010,"Q3",1.67
"Belgium",2010,"Q3",2.57
"Croatia",2010,"Q3",2.57
"Cyprus",2010,"Q3",1.03
"Estonia",2010,"Q3",3.1
"Finland",2010,"Q3",1.33
"France",2010,"Q3",1.77
"Germany",2010,"Q3",1.13
"Greece",2010,"Q3",5.6
"Ireland",2010,"Q3",-1.17
"Italy",2010,"Q3",1.7
"Latvia",2010,"Q3",-0.27
"Lithuania",2010,"Q3",1.8
"Luxembourg",2010,"Q3",2.7
"Malta",2010,"Q3",2.63
"Netherlands",2010,"Q3",1.3
"Portugal",2010,"Q3",1.97
"Slovakia",2010,"Q3",1.07
"Slovenia",2010,"Q3",2.23
"Spain",2010,"Q3",2.07
"Euroarea",2010,"Q4",2
"Austria",2010,"Q4",2
"Belgium",2010,"Q4",3.17
"Croatia",2010,"Q4",3.17
"Cyprus",2010,"Q4",1.43
"Estonia",2010,"Q4",4.97
"Finland",2010,"Q4",2.53
"France",2010,"Q4",1.87
"Germany",2010,"Q4",1.53
"Greece",2010,"Q4",5.07
"Ireland",2010,"Q4",-0.6
"Italy",2010,"Q4",1.97
"Latvia",2010,"Q4",1.67
"Lithuania",2010,"Q4",2.9
"Luxembourg",2010,"Q4",2.83
"Malta",2010,"Q4",3.17
"Netherlands",2010,"Q4",1.53
"Portugal",2010,"Q4",2.3
"Slovakia",2010,"Q4",1.1
"Slovenia",2010,"Q4",1.97
"Spain",2010,"Q4",2.57
"Euroarea",2011,"Q1",2.47
"Austria",2011,"Q1",3
"Belgium",2011,"Q1",3.43
"Croatia",2011,"Q1",3.43
"Cyprus",2011,"Q1",2.17
"Estonia",2011,"Q1",5.23
"Finland",2011,"Q1",3.37
"France",2011,"Q1",2
"Germany",2011,"Q1",2.23
"Greece",2011,"Q1",4.43
"Ireland",2011,"Q1",0.8
"Italy",2011,"Q1",2.33
"Latvia",2011,"Q1",3.8
"Lithuania",2011,"Q1",3.17
"Luxembourg",2011,"Q1",3.77
"Malta",2011,"Q1",2.93
"Netherlands",2011,"Q1",1.9
"Portugal",2011,"Q1",3.67
"Slovakia",2011,"Q1",3.5
"Slovenia",2011,"Q1",2.23
"Spain",2011,"Q1",3.23
"Euroarea",2011,"Q2",2.73
"Austria",2011,"Q2",3.7
"Belgium",2011,"Q2",3.1
"Croatia",2011,"Q2",3.1
"Cyprus",2011,"Q2",2.27
"Estonia",2011,"Q2",5.27
"Finland",2011,"Q2",3.4
"France",2011,"Q2",2.23
"Germany",2011,"Q2",2.53
"Greece",2011,"Q2",3.3
"Ireland",2011,"Q2",1.27
"Italy",2011,"Q2",2.97
"Latvia",2011,"Q2",4.6
"Lithuania",2011,"Q2",4.73
"Luxembourg",2011,"Q2",3.87
"Malta",2011,"Q2",2.67
"Netherlands",2011,"Q2",2.23
"Portugal",2011,"Q2",3.67
"Slovakia",2011,"Q2",4.07
"Slovenia",2011,"Q2",2
"Spain",2011,"Q2",3.3
"Euroarea",2011,"Q3",2.7
"Austria",2011,"Q3",3.8
"Belgium",2011,"Q3",3.53
"Croatia",2011,"Q3",3.53
"Cyprus",2011,"Q3",2.03
"Estonia",2011,"Q3",5.43
"Finland",2011,"Q3",3.57
"France",2011,"Q3",2.3
"Germany",2011,"Q3",2.63
"Greece",2011,"Q3",2.13
"Ireland",2011,"Q3",1.13
"Italy",2011,"Q3",2.7
"Latvia",2011,"Q3",4.43
"Lithuania",2011,"Q3",4.57
"Luxembourg",2011,"Q3",3.57
"Malta",2011,"Q3",2.57
"Netherlands",2011,"Q3",3.13
"Portugal",2011,"Q3",3.1
"Slovakia",2011,"Q3",4.1
"Slovenia",2011,"Q3",1.53
"Spain",2011,"Q3",2.9
"Euroarea",2011,"Q4",2.93
"Austria",2011,"Q4",3.67
"Belgium",2011,"Q4",3.3
"Croatia",2011,"Q4",3.3
"Cyprus",2011,"Q4",2.37
"Estonia",2011,"Q4",4.4
"Finland",2011,"Q4",3
"France",2011,"Q4",2.63
"Germany",2011,"Q4",2.57
"Greece",2011,"Q4",2.63
"Ireland",2011,"Q4",1.63
"Italy",2011,"Q4",3.7
"Latvia",2011,"Q4",4.07
"Lithuania",2011,"Q4",4.03
"Luxembourg",2011,"Q4",3.73
"Malta",2011,"Q4",1.9
"Netherlands",2011,"Q4",2.63
"Portugal",2011,"Q4",3.77
"Slovakia",2011,"Q4",4.67
"Slovenia",2011,"Q4",2.6
"Spain",2011,"Q4",2.73
"Euroarea",2012,"Q1",2.7
"Austria",2012,"Q1",2.7
"Belgium",2012,"Q1",3.27
"Croatia",2012,"Q1",3.27
"Cyprus",2012,"Q1",1.7
"Estonia",2012,"Q1",4.6
"Finland",2012,"Q1",2.97
"France",2012,"Q1",2.57
"Germany",2012,"Q1",2.43
"Greece",2012,"Q1",1.7
"Ireland",2012,"Q1",1.63
"Italy",2012,"Q1",3.57
"Latvia",2012,"Q1",3.3
"Lithuania",2012,"Q1",3.6
"Luxembourg",2012,"Q1",3.13
"Malta",2012,"Q1",2.3
"Netherlands",2012,"Q1",2.9
"Portugal",2012,"Q1",3.3
"Slovakia",2012,"Q1",3.97
"Slovenia",2012,"Q1",2.5
"Spain",2012,"Q1",1.9
"Euroarea",2012,"Q2",2.47
"Austria",2012,"Q2",2.23
"Belgium",2012,"Q2",2.57
"Croatia",2012,"Q2",2.57
"Cyprus",2012,"Q2",3.23
"Estonia",2012,"Q2",4.27
"Finland",2012,"Q2",3
"France",2012,"Q2",2.33
"Germany",2012,"Q2",2.07
"Greece",2012,"Q2",1.13
"Ireland",2012,"Q2",1.8
"Italy",2012,"Q2",3.67
"Latvia",2012,"Q2",2.4
"Lithuania",2012,"Q2",2.83
"Luxembourg",2012,"Q2",2.77
"Malta",2012,"Q2",3.93
"Netherlands",2012,"Q2",2.6
"Portugal",2012,"Q2",2.77
"Slovakia",2012,"Q2",3.6
"Slovenia",2012,"Q2",2.57
"Spain",2012,"Q2",1.9
"Euroarea",2012,"Q3",2.53
"Austria",2012,"Q3",2.4
"Belgium",2012,"Q3",2.4
"Croatia",2012,"Q3",2.4
"Cyprus",2012,"Q3",4.1
"Estonia",2012,"Q3",4.13
"Finland",2012,"Q3",3.27
"France",2012,"Q3",2.27
"Germany",2012,"Q3",2.13
"Greece",2012,"Q3",0.77
"Ireland",2012,"Q3",2.37
"Italy",2012,"Q3",3.47
"Latvia",2012,"Q3",1.9
"Lithuania",2012,"Q3",3.2
"Luxembourg",2012,"Q3",2.9
"Malta",2012,"Q3",3.43
"Netherlands",2012,"Q3",2.57
"Portugal",2012,"Q3",2.93
"Slovakia",2012,"Q3",3.8
"Slovenia",2012,"Q3",3.13
"Spain",2012,"Q3",2.8
"Euroarea",2012,"Q4",2.3
"Austria",2012,"Q4",2.9
"Belgium",2012,"Q4",2.33
"Croatia",2012,"Q4",2.33
"Cyprus",2012,"Q4",4.37
"Estonia",2012,"Q4",3.87
"Finland",2012,"Q4",3.37
"France",2012,"Q4",1.73
"Germany",2012,"Q4",2.03
"Greece",2012,"Q4",0.53
"Ireland",2012,"Q4",1.73
"Italy",2012,"Q4",2.67
"Latvia",2012,"Q4",1.57
"Lithuania",2012,"Q4",2.97
"Luxembourg",2012,"Q4",2.8
"Malta",2012,"Q4",3.17
"Netherlands",2012,"Q4",3.3
"Portugal",2012,"Q4",2.03
"Slovakia",2012,"Q4",3.6
"Slovenia",2012,"Q4",3.03
"Spain",2012,"Q4",3.17
"Euroarea",2013,"Q1",1.87
"Austria",2013,"Q1",2.6
"Belgium",2013,"Q1",1.47
"Croatia",2013,"Q1",1.47
"Cyprus",2013,"Q1",4.13
"Estonia",2013,"Q1",3.83
"Finland",2013,"Q1",2.5
"France",2013,"Q1",1.23
"Germany",2013,"Q1",1.87
"Greece",2013,"Q1",-0.03
"Ireland",2013,"Q1",1.1
"Italy",2013,"Q1",2.07
"Latvia",2013,"Q1",0.4
"Lithuania",2013,"Q1",2.2
"Luxembourg",2013,"Q1",2.17
"Malta",2013,"Q1",1.87
"Netherlands",2013,"Q1",3.2
"Portugal",2013,"Q1",0.43
"Slovakia",2013,"Q1",2.23
"Slovenia",2013,"Q1",2.63
"Spain",2013,"Q1",2.77
"Euroarea",2013,"Q2",1.4
"Austria",2013,"Q2",2.23
"Belgium",2013,"Q2",1.33
"Croatia",2013,"Q2",1.33
"Cyprus",2013,"Q2",2.37
"Estonia",2013,"Q2",3.7
"Finland",2013,"Q2",2.4
"France",2013,"Q2",0.9
"Germany",2013,"Q2",1.53
"Greece",2013,"Q2",-0.37
"Ireland",2013,"Q2",0.53
"Italy",2013,"Q2",1.2
"Latvia",2013,"Q2",-0.13
"Lithuania",2013,"Q2",1.4
"Luxembourg",2013,"Q2",1.7
"Malta",2013,"Q2",0.77
"Netherlands",2013,"Q2",3.03
"Portugal",2013,"Q2",0.83
"Slovakia",2013,"Q2",1.73
"Slovenia",2013,"Q2",1.8
"Spain",2013,"Q2",1.83
"Euroarea",2013,"Q3",1.33
"Austria",2013,"Q3",1.97
"Belgium",2013,"Q3",1.23
"Croatia",2013,"Q3",1.23
"Cyprus",2013,"Q3",2.27
"Estonia",2013,"Q3",3.4
"Finland",2013,"Q3",2.13
"France",2013,"Q3",1.07
"Germany",2013,"Q3",1.67
"Greece",2013,"Q3",-0.83
"Ireland",2013,"Q3",0.3
"Italy",2013,"Q3",1.07
"Latvia",2013,"Q3",0
"Lithuania",2013,"Q3",0.53
"Luxembourg",2013,"Q3",1.7
"Malta",2013,"Q3",0.73
"Netherlands",2013,"Q3",2.77
"Portugal",2013,"Q3",0.43
"Slovakia",2013,"Q3",1.37
"Slovenia",2013,"Q3",2.2
"Spain",2013,"Q3",1.33
"Euroarea",2013,"Q4",0.8
"Austria",2013,"Q4",1.67
"Belgium",2013,"Q4",0.93
"Croatia",2013,"Q4",0.93
"Cyprus",2013,"Q4",0.67
"Estonia",2013,"Q4",2.1
"Finland",2013,"Q4",1.8
"France",2013,"Q4",0.77
"Germany",2013,"Q4",1.33
"Greece",2013,"Q4",-2.2
"Ireland",2013,"Q4",0.17
"Italy",2013,"Q4",0.63
"Latvia",2013,"Q4",-0.23
"Lithuania",2013,"Q4",0.53
"Luxembourg",2013,"Q4",1.2
"Malta",2013,"Q4",0.57
"Netherlands",2013,"Q4",1.3
"Portugal",2013,"Q4",0.1
"Slovakia",2013,"Q4",0.53
"Slovenia",2013,"Q4",1.1
"Spain",2013,"Q4",0.2
"Euroarea",2014,"Q1",0.67
"Austria",2014,"Q1",1.5
"Belgium",2014,"Q1",0.9
"Croatia",2014,"Q1",0.9
"Cyprus",2014,"Q1",0.03
"Estonia",2014,"Q1",1.13
"Finland",2014,"Q1",1.6
"France",2014,"Q1",0.9
"Germany",2014,"Q1",0.93
"Greece",2014,"Q1",-1.27
"Ireland",2014,"Q1",0.2
"Italy",2014,"Q1",0.43
"Latvia",2014,"Q1",0.43
"Lithuania",2014,"Q1",0.3
"Luxembourg",2014,"Q1",1.03
"Malta",2014,"Q1",1.33
"Netherlands",2014,"Q1",0.43
"Portugal",2014,"Q1",-0.13
"Slovakia",2014,"Q1",-0.1
"Slovenia",2014,"Q1",0.57
"Spain",2014,"Q1",0.07
"Euroarea",2014,"Q2",0.57
"Austria",2014,"Q2",1.6
"Belgium",2014,"Q2",0.7
"Croatia",2014,"Q2",0.7
"Cyprus",2014,"Q2",0.27
"Estonia",2014,"Q2",0.57
"Finland",2014,"Q2",1.13
"France",2014,"Q2",0.73
"Germany",2014,"Q2",0.9
"Greece",2014,"Q2",-1.73
"Ireland",2014,"Q2",0.4
"Italy",2014,"Q2",0.4
"Latvia",2014,"Q2",0.8
"Lithuania",2014,"Q2",0.23
"Luxembourg",2014,"Q2",1.17
"Malta",2014,"Q2",0.53
"Netherlands",2014,"Q2",0.33
"Portugal",2014,"Q2",-0.2
"Slovakia",2014,"Q2",-0.1
"Slovenia",2014,"Q2",0.83
"Spain",2014,"Q2",0.17
"Euroarea",2014,"Q3",0.37
"Austria",2014,"Q3",1.53
"Belgium",2014,"Q3",0.37
"Croatia",2014,"Q3",0.37
"Cyprus",2014,"Q3",0.33
"Estonia",2014,"Q3",0
"Finland",2014,"Q3",1.23
"France",2014,"Q3",0.5
"Germany",2014,"Q3",0.77
"Greece",2014,"Q3",-0.7
"Ireland",2014,"Q3",0.5
"Italy",2014,"Q3",-0.07
"Latvia",2014,"Q3",0.87
"Lithuania",2014,"Q3",0.27
"Luxembourg",2014,"Q3",0.73
"Malta",2014,"Q3",0.67
"Netherlands",2014,"Q3",0.33
"Portugal",2014,"Q3",-0.27
"Slovakia",2014,"Q3",-0.13
"Slovenia",2014,"Q3",0.07
"Spain",2014,"Q3",-0.4
"Euroarea",2014,"Q4",0.17
"Austria",2014,"Q4",1.23
"Belgium",2014,"Q4",0
"Croatia",2014,"Q4",0
"Cyprus",2014,"Q4",0.23
"Estonia",2014,"Q4",0.2
"Finland",2014,"Q4",0.97
"France",2014,"Q4",0.33
"Germany",2014,"Q4",0.43
"Greece",2014,"Q4",-1.83
"Ireland",2014,"Q4",0.1
"Italy",2014,"Q4",0.17
"Latvia",2014,"Q4",0.63
"Lithuania",2014,"Q4",0.2
"Luxembourg",2014,"Q4",-0.1
"Malta",2014,"Q4",0.6
"Netherlands",2014,"Q4",0.2
"Portugal",2014,"Q4",-0.03
"Slovakia",2014,"Q4",-0.03
"Slovenia",2014,"Q4",-0.03
"Spain",2014,"Q4",-0.6
"Euroarea",2015,"Q1",-0.33
"Austria",2015,"Q1",0.63
"Belgium",2015,"Q1",-0.37
"Croatia",2015,"Q1",-0.37
"Cyprus",2015,"Q1",-0.33
"Estonia",2015,"Q1",-0.23
"Finland",2015,"Q1",-0.07
"France",2015,"Q1",-0.23
"Germany",2015,"Q1",-0.13
"Greece",2015,"Q1",-2.2
"Ireland",2015,"Q1",-0.33
"Italy",2015,"Q1",-0.13
"Latvia",2015,"Q1",0.07
"Lithuania",2015,"Q1",-1.33
"Luxembourg",2015,"Q1",-0.47
"Malta",2015,"Q1",0.63
"Netherlands",2015,"Q1",-0.5
"Portugal",2015,"Q1",-0.03
"Slovakia",2015,"Q1",-0.5
"Slovenia",2015,"Q1",-0.53
"Spain",2015,"Q1",-1.17
"Euroarea",2015,"Q2",0.43
"Austria",2015,"Q2",0.97
"Belgium",2015,"Q2",0.7
"Croatia",2015,"Q2",0.7
"Cyprus",2015,"Q2",0
"Estonia",2015,"Q2",0.4
"Finland",2015,"Q2",0.03
"France",2015,"Q2",0.23
"Germany",2015,"Q2",1.23
"Greece",2015,"Q2",-1.43
"Ireland",2015,"Q2",0.1
"Italy",2015,"Q2",0.1
"Latvia",2015,"Q2",0.83
"Lithuania",2015,"Q2",-0.27
"Luxembourg",2015,"Q2",0.3
"Malta",2015,"Q2",1.27
"Netherlands",2015,"Q2",0.4
"Portugal",2015,"Q2",0.77
"Slovakia",2015,"Q2",-0.1
"Slovenia",2015,"Q2",-0.87
"Spain",2015,"Q2",-0.33
"Euroarea",2015,"Q3",0.37
"Austria",2015,"Q3",0.9
"Belgium",2015,"Q3",0.87
"Croatia",2015,"Q3",0.87
"Cyprus",2015,"Q3",-0.27
"Estonia",2015,"Q3",0
"Finland",2015,"Q3",-0.33
"France",2015,"Q3",0.13
"Germany",2015,"Q3",1.07
"Greece",2015,"Q3",-0.83
"Ireland",2015,"Q3",0.1
"Italy",2015,"Q3",0.3
"Latvia",2015,"Q3",-0.13
"Lithuania",2015,"Q3",-0.67
"Luxembourg",2015,"Q3",0.03
"Malta",2015,"Q3",1.4
"Netherlands",2015,"Q3",0.5
"Portugal",2015,"Q3",0.77
"Slovakia",2015,"Q3",-0.3
"Slovenia",2015,"Q3",-0.77
"Spain",2015,"Q3",-0.53
"Euroarea",2015,"Q4",0.27
"Austria",2015,"Q4",0.77
"Belgium",2015,"Q4",1.37
"Croatia",2015,"Q4",1.37
"Cyprus",2015,"Q4",-0.4
"Estonia",2015,"Q4",0.1
"Finland",2015,"Q4",-0.23
"France",2015,"Q4",0.2
"Germany",2015,"Q4",0.53
"Greece",2015,"Q4",0.07
"Ireland",2015,"Q4",0
"Italy",2015,"Q4",0.17
"Latvia",2015,"Q4",0.1
"Lithuania",2015,"Q4",-0.37
"Luxembourg",2015,"Q4",0.4
"Malta",2015,"Q4",1.4
"Netherlands",2015,"Q4",0.43
"Portugal",2015,"Q4",0.53
"Slovakia",2015,"Q4",-0.47
"Slovenia",2015,"Q4",-0.87
"Spain",2015,"Q4",-0.47
"Euroarea",2016,"Q1",0.07
