"Sector","Country","Year","Quarter","Value"
"Agriculture, forestry and fishing","Austria",2010,"Q1",907.8
"Agriculture, forestry and fishing","Austria",2010,"Q2",947.3
"Agriculture, forestry and fishing","Austria",2010,"Q3",973.4
"Agriculture, forestry and fishing","Austria",2010,"Q4",1011.4
"Agriculture, forestry and fishing","Austria",2011,"Q1",1074.5
"Agriculture, forestry and fishing","Austria",2011,"Q2",1123.9
"Agriculture, forestry and fishing","Austria",2011,"Q3",1157.8
"Agriculture, forestry and fishing","Austria",2011,"Q4",1172.1
"Agriculture, forestry and fishing","Austria",2012,"Q1",1121.4
"Agriculture, forestry and fishing","Austria",2012,"Q2",1142.1
"Agriculture, forestry and fishing","Austria",2012,"Q3",1111
"Agriculture, forestry and fishing","Austria",2012,"Q4",1106.7
"Agriculture, forestry and fishing","Austria",2013,"Q1",995
"Agriculture, forestry and fishing","Austria",2013,"Q2",986.8
"Agriculture, forestry and fishing","Austria",2013,"Q3",1039.2
"Agriculture, forestry and fishing","Austria",2013,"Q4",1100.5
"Agriculture, forestry and fishing","Austria",2014,"Q1",1062.5
"Agriculture, forestry and fishing","Austria",2014,"Q2",1054.1
"Agriculture, forestry and fishing","Austria",2014,"Q3",1065.1
"Agriculture, forestry and fishing","Austria",2014,"Q4",1025.5
"Agriculture, forestry and fishing","Austria",2015,"Q1",995.1
"Agriculture, forestry and fishing","Austria",2015,"Q2",968.5
"Agriculture, forestry and fishing","Austria",2015,"Q3",970.5
"Agriculture, forestry and fishing","Austria",2015,"Q4",983.9
"Agriculture, forestry and fishing","Austria",2016,"Q1",1006
"Agriculture, forestry and fishing","Austria",2016,"Q2",997.3
"Agriculture, forestry and fishing","Austria",2016,"Q3",1039.6
"Agriculture, forestry and fishing","Austria",2016,"Q4",1053.1
"Agriculture, forestry and fishing","Austria",2017,"Q1",1030.1
"Agriculture, forestry and fishing","Austria",2017,"Q2",1074
"Agriculture, forestry and fishing","Austria",2017,"Q3",1128.8
"Agriculture, forestry and fishing","Austria",2017,"Q4",1184.3
"Agriculture, forestry and fishing","Austria",2018,"Q1",1121.3
"Agriculture, forestry and fishing","Austria",2018,"Q2",1037.5
"Agriculture, forestry and fishing","Austria",2018,"Q3",1036.8
"Agriculture, forestry and fishing","Austria",2018,"Q4",1070.8
"Agriculture, forestry and fishing","Austria",2019,"Q1",1020.8
"Agriculture, forestry and fishing","Austria",2019,"Q2",1042.9
"Agriculture, forestry and fishing","Austria",2019,"Q3",1030.8
"Agriculture, forestry and fishing","Austria",2019,"Q4",1035.7
"Agriculture, forestry and fishing","Austria",2021,"Q1",1150.1
"Agriculture, forestry and fishing","Austria",2021,"Q2",1271.2
"Agriculture, forestry and fishing","Austria",2021,"Q3",1243.4
"Agriculture, forestry and fishing","Austria",2021,"Q4",1258.1
"Agriculture, forestry and fishing","Austria",2022,"Q1",1286.4
"Agriculture, forestry and fishing","Austria",2022,"Q2",1641.5
"Agriculture, forestry and fishing","Austria",2022,"Q3",1584.8
"Agriculture, forestry and fishing","Austria",2022,"Q4",1595.2
"Agriculture, forestry and fishing","Austria",2023,"Q1",1620.3
"Agriculture, forestry and fishing","Austria",2023,"Q2",1556.4
"Agriculture, forestry and fishing","Austria",2023,"Q3",1486.5
"Agriculture, forestry and fishing","Austria",2023,"Q4",1470.9
"Agriculture, forestry and fishing","Austria",2024,"Q1",1508.6
"Agriculture, forestry and fishing","Austria",2024,"Q2",1509.1
"Agriculture, forestry and fishing","Austria",2024,"Q3",1522
"Agriculture, forestry and fishing","Belgium",2010,"Q1",736.7
"Agriculture, forestry and fishing","Belgium",2010,"Q2",760
"Agriculture, forestry and fishing","Belgium",2010,"Q3",806.6
"Agriculture, forestry and fishing","Belgium",2010,"Q4",776.8
"Agriculture, forestry and fishing","Belgium",2011,"Q1",673.6
"Agriculture, forestry and fishing","Belgium",2011,"Q2",669.5
"Agriculture, forestry and fishing","Belgium",2011,"Q3",681.1
"Agriculture, forestry and fishing","Belgium",2011,"Q4",726.4
"Agriculture, forestry and fishing","Belgium",2012,"Q1",813.1
"Agriculture, forestry and fishing","Belgium",2012,"Q2",813.7
"Agriculture, forestry and fishing","Belgium",2012,"Q3",821.5
"Agriculture, forestry and fishing","Belgium",2012,"Q4",828.1
"Agriculture, forestry and fishing","Belgium",2013,"Q1",838.9
"Agriculture, forestry and fishing","Belgium",2013,"Q2",757.8
"Agriculture, forestry and fishing","Belgium",2013,"Q3",690.2
"Agriculture, forestry and fishing","Belgium",2013,"Q4",730.2
"Agriculture, forestry and fishing","Belgium",2014,"Q1",703.7
"Agriculture, forestry and fishing","Belgium",2014,"Q2",738.7
"Agriculture, forestry and fishing","Belgium",2014,"Q3",703.8
"Agriculture, forestry and fishing","Belgium",2014,"Q4",755.4
"Agriculture, forestry and fishing","Belgium",2015,"Q1",801.9
"Agriculture, forestry and fishing","Belgium",2015,"Q2",791.4
"Agriculture, forestry and fishing","Belgium",2015,"Q3",820.1
"Agriculture, forestry and fishing","Belgium",2015,"Q4",705.7
"Agriculture, forestry and fishing","Belgium",2016,"Q1",694.1
"Agriculture, forestry and fishing","Belgium",2016,"Q2",686.5
"Agriculture, forestry and fishing","Belgium",2016,"Q3",761.1
"Agriculture, forestry and fishing","Belgium",2016,"Q4",742.7
