"Sector","Country","Year","Quarter","Value"
"Construction","Austria",2010,"Q1",4204.2
"Construction","Austria",2010,"Q2",4179.4
"Construction","Austria",2010,"Q3",4157.3
"Construction","Austria",2010,"Q4",4190.3
"Construction","Austria",2011,"Q1",4284.2
"Construction","Austria",2011,"Q2",4190.6
"Construction","Austria",2011,"Q3",4205.6
"Construction","Austria",2011,"Q4",4112.1
"Construction","Austria",2012,"Q1",4241.6
"Construction","Austria",2012,"Q2",4327.1
"Construction","Austria",2012,"Q3",4359.9
"Construction","Austria",2012,"Q4",4420.6
"Construction","Austria",2013,"Q1",4399.6
"Construction","Austria",2013,"Q2",4514
"Construction","Austria",2013,"Q3",4550.5
"Construction","Austria",2013,"Q4",4581.8
"Construction","Austria",2014,"Q1",4658
"Construction","Austria",2014,"Q2",4631
"Construction","Austria",2014,"Q3",4641.3
"Construction","Austria",2014,"Q4",4647.6
"Construction","Austria",2015,"Q1",4685.1
"Construction","Austria",2015,"Q2",4678.4
"Construction","Austria",2015,"Q3",4707.9
"Construction","Austria",2015,"Q4",4790.2
"Construction","Austria",2016,"Q1",4857.2
"Construction","Austria",2016,"Q2",4885.2
"Construction","Austria",2016,"Q3",4928.3
"Construction","Austria",2016,"Q4",4987.5
"Construction","Austria",2017,"Q1",5070.8
"Construction","Austria",2017,"Q2",5157.3
"Construction","Austria",2017,"Q3",5220.9
"Construction","Austria",2017,"Q4",5317.2
"Construction","Austria",2018,"Q1",5408.6
"Construction","Austria",2018,"Q2",5459.4
"Construction","Austria",2018,"Q3",5507.5
"Construction","Austria",2018,"Q4",5580.7
"Construction","Austria",2019,"Q1",5670.5
"Construction","Austria",2019,"Q2",5689.9
"Construction","Austria",2019,"Q3",5764.7
"Construction","Austria",2019,"Q4",5854.2
"Construction","Austria",2021,"Q1",6012.5
"Construction","Austria",2021,"Q2",6166.2
"Construction","Austria",2021,"Q3",6180
"Construction","Austria",2021,"Q4",6324.4
"Construction","Austria",2022,"Q1",6458.4
"Construction","Austria",2022,"Q2",6655.1
"Construction","Austria",2022,"Q3",6831
"Construction","Austria",2022,"Q4",7065.8
"Construction","Austria",2023,"Q1",7124.7
"Construction","Austria",2023,"Q2",7144.5
"Construction","Austria",2023,"Q3",7095.9
"Construction","Austria",2023,"Q4",7064.6
"Construction","Austria",2024,"Q1",7134.7
"Construction","Austria",2024,"Q2",7125.9
"Construction","Austria",2024,"Q3",7144.3
"Construction","Belgium",2010,"Q1",4294.5
"Construction","Belgium",2010,"Q2",4413
"Construction","Belgium",2010,"Q3",4449.4
"Construction","Belgium",2010,"Q4",4499.2
"Construction","Belgium",2011,"Q1",4644.3
"Construction","Belgium",2011,"Q2",4733.6
"Construction","Belgium",2011,"Q3",4726.5
"Construction","Belgium",2011,"Q4",4781.5
"Construction","Belgium",2012,"Q1",4716.8
"Construction","Belgium",2012,"Q2",4703.5
"Construction","Belgium",2012,"Q3",4691.4
"Construction","Belgium",2012,"Q4",4625.1
"Construction","Belgium",2013,"Q1",4643.5
"Construction","Belgium",2013,"Q2",4620.4
"Construction","Belgium",2013,"Q3",4667.2
"Construction","Belgium",2013,"Q4",4670
