DATAFLOW,LAST UPDATE,freq,unit,nace_r2,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,Industry (except construction),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1995-Q1,724.94,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,Industry (except construction),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1995-Q2,734.20,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,Industry (except construction),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1995-Q3,749.64,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,Industry (except construction),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1995-Q4,736.01,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,Industry (except construction),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1996-Q1,705.89,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,Industry (except construction),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1996-Q2,713.51,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,Industry (except construction),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1996-Q3,729.26,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,Industry (except construction),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1996-Q4,715.68,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,Industry (except construction),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1997-Q1,696.37,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,Industry (except construction),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1997-Q2,703.90,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,Industry (except construction),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1997-Q3,719.86,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,Industry (except construction),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1997-Q4,708.24,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,Industry (except construction),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1998-Q1,697.19,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,Industry (except construction),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1998-Q2,706.21,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,Industry (except construction),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1998-Q3,720.79,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,Industry (except construction),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1998-Q4,708.66,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,Industry (except construction),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1999-Q1,700.10,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,Industry (except construction),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1999-Q2,707.48,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,Industry (except construction),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1999-Q3,722.25,,
