DATAFLOW,LAST UPDATE,freq,unit,nace_r2,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1995-Q1,979.77,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1995-Q2,966.06,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1995-Q3,992.70,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1995-Q4,963.53,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1996-Q1,989.33,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1996-Q2,975.76,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1996-Q3,1009.43,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1996-Q4,978.85,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1997-Q1,1007.10,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1997-Q2,990.80,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1997-Q3,1019.83,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1997-Q4,988.31,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1998-Q1,1014.16,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1998-Q2,1004.84,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1998-Q3,1034.56,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1998-Q4,1005.02,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1999-Q1,1042.36,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1999-Q2,1030.49,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1999-Q3,1056.71,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,1999-Q4,1026.53,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,2000-Q1,1053.28,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,2000-Q2,1041.37,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,2000-Q3,1069.55,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,2000-Q4,1039.97,,
ESTAT:NAMQ_10_A10_E(1.0),20/02/25 23:00:00,Quarterly,Thousand persons,"Wholesale and retail trade, transport, accommodation and food service activities",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total employment domestic concept,Austria,2001-Q1,1057.45,,
