"Time","Euroarea","Austria","Belgium","Croazia","Cipro","Estonia","Finlandia","Francia","Germania","Grecia","Irlanda","Italia","Latvia","Lituania","Lussemburgo","Malta","Netherlands","Portogallo","Slovacchia","Slovenia","Spagna"
"1996-01",NA,NA,NA,NA,NA,NA,NA,NA,"0,5","7,8","2,3",NA,NA,"31,5",NA,NA,NA,NA,NA,NA,"3,8"
"1996-02",NA,NA,NA,NA,NA,NA,NA,NA,"0,7","8,1","2,2",NA,NA,"29,3",NA,NA,NA,NA,NA,NA,"3,6"
"1996-03",NA,NA,NA,NA,NA,NA,NA,NA,"0,8","8,6","2,4",NA,NA,"30,5",NA,NA,NA,NA,NA,NA,"3,3"
"1996-04",NA,NA,NA,NA,NA,NA,NA,NA,"0,5","8,5","1,9",NA,NA,"30,5",NA,NA,NA,NA,NA,NA,"3,4"
"1996-05",NA,NA,NA,NA,NA,NA,NA,NA,"0,7","8,3","1,9",NA,NA,"28,2",NA,NA,NA,NA,NA,NA,"3,8"
"1996-06",NA,NA,NA,NA,NA,NA,NA,NA,"0,5","7,9","2,1",NA,NA,"27,8",NA,NA,NA,NA,NA,NA,"3,6"
"1996-07",NA,NA,NA,NA,NA,NA,NA,NA,"0,7","8","1,9",NA,NA,"24,7",NA,NA,NA,NA,NA,NA,"3,7"
"1996-08",NA,NA,NA,NA,NA,NA,NA,NA,"0,5","7,7","1,9",NA,NA,"24,4",NA,NA,NA,NA,NA,NA,"3,7"
"1996-09",NA,NA,NA,NA,NA,NA,NA,NA,"0,7","7,7","2,3",NA,NA,"23",NA,NA,NA,NA,NA,NA,"3,6"
"1996-10",NA,NA,NA,NA,NA,NA,NA,NA,"0,8","7,7","2,2",NA,NA,"19,8",NA,NA,NA,NA,NA,NA,"3,6"
"1996-11",NA,NA,NA,NA,NA,NA,NA,NA,"0,7","7,3","2,2",NA,NA,"16,7",NA,NA,NA,NA,NA,NA,"3,3"
"1996-12",NA,NA,NA,NA,NA,NA,NA,NA,"0,7","6,9","2,5",NA,NA,"14,9",NA,NA,NA,NA,NA,NA,"3,3"
"1997-01","2","1,2","2,1","2,1",NA,"10,9","0,9","1,8","1,9","6,7","1,8","2,7","11,2","15,4","1,3","4,2","1,7","2,8","5,7",NA,"2,8"
"1997-02","1,8","1,4","1,9","1,9",NA,"8,1","0,6","1,7","1,6","6,4","1,7","2,4","9,8","13,4","1,5","4,2","1,4","2,4","6",NA,"2,5"
"1997-03","1,6","1,2","1,3","1,3",NA,"7,3","0,7","1,1","1,3","5,9","1,3","2,2","8,5","10,7","1,3","4","1,2","2,3","6,3",NA,"2,2"
"1997-04","1,3","1,2","1,1","1,1",NA,"7","0,9","1","1,2","5,7","1,6","1,9","8,6","9,4","1,1","3,3","1","1,6","6,4",NA,"1,6"
"1997-05","1,4","1,3","1,4","1,4",NA,"8,5","0,9","0,9","1,5","5,4","1,5","1,9","8,9","9,7","1,1","3,4","1,6","1,9","5,9",NA,"1,3"
"1997-06","1,4","1","1,6","1,6",NA,"8,5","1,1","1","1,5","5,6","1,4","1,6","7,5","8,9","1,2","3,8","1,5","1,6","6,1",NA,"1,4"
"1997-07","1,5","0,9","1,9","1,9",NA,"8,7","1,1","1,1","1,6","5,3","1,6","1,7","6,9","10,1","1,3","4,1","1,9","1,4","5,9",NA,"1,5"
"1997-08","1,7","1,3","1,7","1,7",NA,"10,2","1,7","1,6","1,7","5,6","0,7","1,6","8","10,3","1,4","3,9","2,5","1,6","6,4",NA,"1,7"
"1997-09","1,6","1,2","1,6","1,6",NA,"10,2","1,6","1,4","1,4","4,9","0,6","1,6","7,5","9,5","1,7","3,7","2,5","1,5","5,5",NA,"1,9"
"1997-10","1,5","1,1","1,2","1,2",NA,"10,6","1,7","1,1","1,5","4,6","0,9","1,9","7,1","9,4","1,7","3,8","2,3","1,6","5,7",NA,"1,8"
"1997-11","1,6","1,1","1,3","1,3",NA,"10,8","1,8","1,4","1,6","5","1","1,7","6,9","9,2","1,5","4","2,5","1,9","6",NA,"1,9"
"1997-12","1,5","1","0,9","0,9",NA,"11","1,6","1,2","1,4","4,5","1","1,7","6,4","8,5","1,5","4,6","2,2","2,1","6,2",NA,"1,9"
"1998-01","1,1","1,2","0,5","0,5",NA,"11,5","1,8","0,6","0,7","4,3","1,3","1,9","5,7","6,5","1,5","4","1,6","1,6","7,1",NA,"1,9"
"1998-02","1,1","1","0,8","0,8",NA,"11,9","1,7","0,7","0,5","4,1","1","2","5,4","6,3","1,1","3,7","2,1","1,3","7,4",NA,"1,7"
"1998-03","1,1","1","1","1",NA,"11,9","1,6","0,8","0,5","4,3","1,6","2","5,3","6,7","1,3","3,5","2,2","1,5","7,1",NA,"1,7"
"1998-04","1,4","1,2","1,3","1,3",NA,"10,8","1,7","1","0,9","5,1","2","2,2","5,3","6,9","1,1","4,2","2,5","2,2","7,1",NA,"1,9"
"1998-05","1,3","1","1,3","1,3",NA,"9,1","1,6","0,9","0,9","5","2,3","1,9","4,7","6,9","1,3","4,3","2,1","2,2","7,7",NA,"2"
"1998-06","1,3","0,8","1,2","1,2",NA,"8,7","1,6","1,1","0,8","4,9","2,6","2","5,1","6","1,2","3,9","2,2","2,7","7,5",NA,"2"
"1998-07","1,3","0,8","1,2","1,2",NA,"8,8","1,1","0,8","0,8","4,8","2,4","2","4,5","5,2","1,2","3,9","1,8","2,8","7",NA,"2,3"
"1998-08","1,1","0,7","1","1",NA,"8,2","1,1","0,7","0,6","4,7","2,9","2,1","3,7","4,5","1","3,7","1,4","2,2","5,6",NA,"2,1"
"1998-09","1","0,6","0,8","0,8",NA,"7,5","1,4","0,5","0,5","5","2,7","2,1","3,6","4,3","0,7","3,5","1,3","2,2","5,9",NA,"1,5"
"1998-10","0,9","0,7","0,7","0,7",NA,"6,7","1,1","0,5","0,4","4,5","2,6","1,9","2,9","4,7","0,5","3,3","1,5","2,5","6,3",NA,"1,5"
"1998-11","0,8","0,5","0,6","0,6",NA,"5,8","0,9","0,2","0,4","3,9","2,3","1,7","2,7","3,5","0,5","3,3","1,5","2,6","6,1",NA,"1,4"
"1998-12","0,8","0,5","0,7","0,7",NA,"5,1","0,8","0,3","0,1","3,7","2,1","1,6","2,7","3,1","0,4","2,9","1,5","2,8","5,7",NA,"1,3"
"1999-01","0,8","0,3","1","1","4,1","4,5","0,5","0,3","0,3","3,3","2","1,4","2,3","3,1","-1,4","2,4","2,1","2,5","6,8",NA,"1,4"
"1999-02","0,7","0,2","1","1","4","3,7","0,9","0,3","0,1","3,1","2,3","1,4","2,3","2,8","0,6","2,5","2","2,7","6,8",NA,"1,8"
"1999-03","0,9","0,2","1,3","1,3","3,8","3,4","0,9","0,4","0,5","3","2","1,4","2","2,2","0,6","2,4","2","2,8","6,9",NA,"2,1"
"1999-04","1,1","0,1","1,1","1,1","3,5","3,1","1,3","0,5","0,8","2,6","2","1,3","1,2","1,8","1,3","1,6","1,9","2,7","7",NA,"2,3"
"1999-05","0,9","0,4","0,8","0,8","3,5","3,1","1,4","0,4","0,4","2","2,4","1,5","1,7","1,1","1,3","1,5","2,1","2,1","6,5",NA,"2,1"
"1999-06","0,9","0,2","0,7","0,7","3,4","2,9","1,2","0,3","0,4","1,5","2,1","1,4","1,7","1,8","1,2","1,6","2,1","2,1","6,9",NA,"2,1"
"1999-07","1","0,3","0,7","0,7","4,2","2,4","1,4","0,4","0,5","1,6","2","1,7","1,6","0,8","-0,3","1,7","1,8","1,9","13,6",NA,"2,1"
"1999-08","1,1","0,5","0,9","0,9","4,1","2,3","1,3","0,5","0,6","1,4","2,5","1,5","1,8","1","1,4","1,9","2,5","1,8","14,4",NA,"2,3"
"1999-09","1,2","0,6","1,3","1,3","3,9","2,5","1,4","0,6","0,8","1,3","2,6","1,8","2,1","1,9","1,6","1,9","2","1,9","14,6",NA,"2,5"
"1999-10","1,3","0,8","1,4","1,4","4","2,6","1,6","0,8","0,9","1,7","2,8","2","2,6","0,3","1,9","2","1,8","1,8","13,9",NA,"2,4"
"1999-11","1,5","1","1,6","1,6","3,1","3","1,9","0,9","1","2","2,9","2","3","0,2","1,8","3,8","2","1,9","13,8",NA,"2,7"
"1999-12","1,7","1,7","2,1","2,1","3,4","3,7","2,2","1,3","1,4","2,3","3,9","2,2","3","0,4","2,3","4,3","1,9","1,7","14,1",NA,"2,8"
"2000-01","1,9","1,4","0,3","0,3","3,1","3,1","2,3","1,7","1,7","2,3","4,5","2,2","3,1","0,9","3,5","3,4","1,6","1,9","13,7",NA,"2,9"
"2000-02","1,9","1,9","2,1","2,1","3,2","2,9","2,7","1,4","1,7","2,6","4,6","2,4","3,4","0,9","2,6","3,3","1,5","1,6","16,7",NA,"3"
"2000-03","2","1,9","2,5","2,5","3,5","3,1","3,2","1,6","1,4","2,8","5","2,5","3,2","1","3","3,4","1,6","1,4","16,8",NA,"3"
"2000-04","1,7","1,8","2,3","2,3","3,9","3","2,5","1,3","1","2,1","5,1","2,4","3,7","0,9","3,2","3,4","1,7","1,9","16,2",NA,"3"
"2000-05","1,8","1,6","2,4","2,4","3,4","2,8","2,7","1,5","0,8","2,6","5,1","2,5","3","0,5","2,9","3,6","2","2,4","16,3",NA,"3,2"
"2000-06","2,1","2,4","3","3","4,5","3,1","3,1","1,8","1,4","2,2","5,4","2,8","2,4","1,3","4,4","3,3","2,5","2,8","15,7",NA,"3,5"
