DATAFLOW,LAST UPDATE,freq,nace_r2,s_adj,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1995-Q1,963.6,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1995-Q2,1000.7,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1995-Q3,992.4,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1995-Q4,976.7,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1996-Q1,923.7,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1996-Q2,908.1,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1996-Q3,899.2,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1996-Q4,892.9,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1997-Q1,923.5,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1997-Q2,908.1,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1997-Q3,902.2,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1997-Q4,904.2,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1998-Q1,863.3,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1998-Q2,878.7,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1998-Q3,892.5,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1998-Q4,905.7,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1999-Q1,893.6,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1999-Q2,900.8,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1999-Q3,904.3,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1999-Q4,898.2,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,2000-Q1,892.6,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,2000-Q2,865.8,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,2000-Q3,892.6,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,2000-Q4,902.0,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,2001-Q1,940.6,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,2001-Q2,915.9,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,2001-Q3,943.0,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,"Agriculture, forestry and fishing",Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,2001-Q4,938.4,,
