DATAFLOW,LAST UPDATE,freq,nace_r2,s_adj,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,Construction,Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1995-Q1,3075.2,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,Construction,Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1995-Q2,3262.4,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,Construction,Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1995-Q3,3264.8,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,Construction,Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1995-Q4,3312.0,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,Construction,Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1996-Q1,3241.8,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,Construction,Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1996-Q2,3333.3,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,Construction,Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1996-Q3,3388.6,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,Construction,Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1996-Q4,3314.2,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,Construction,Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1997-Q1,3359.1,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,Construction,Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1997-Q2,3208.1,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,Construction,Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1997-Q3,3244.4,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,Construction,Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1997-Q4,3191.1,,
