DATAFLOW,LAST UPDATE,freq,nace_r2,s_adj,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,Manufacturing,Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1995-Q1,8265.3,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,Manufacturing,Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1995-Q2,8608.4,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,Manufacturing,Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1995-Q3,8556.0,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,Manufacturing,Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1995-Q4,8584.7,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,Manufacturing,Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1996-Q1,8592.5,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,Manufacturing,Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1996-Q2,8465.9,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,Manufacturing,Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1996-Q3,8517.7,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,Manufacturing,Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1996-Q4,8266.5,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,Manufacturing,Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1997-Q1,8301.2,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,Manufacturing,Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1997-Q2,8427.2,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,Manufacturing,Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1997-Q3,8570.1,,
ESTAT:NAIDQ_10_A10(1.0),18/02/25 23:00:00,Quarterly,Manufacturing,Seasonally and calendar adjusted data,"Current prices, million euro","Value added, gross",Austria,1997-Q4,8898.5,,
